frame,person_box,alert,reason
0,"(282, 11, 341, 211)",0,none
0,"(671, 184, 793, 390)",0,none
0,"(682, 81, 774, 220)",0,none
0,"(484, 1, 519, 41)",0,none
1,"(276, 9, 343, 211)",0,none
1,"(680, 81, 773, 221)",0,none
1,"(671, 183, 793, 390)",0,none
1,"(504, 1, 529, 37)",0,none
1,"(510, 1, 535, 41)",0,none
2,"(273, 13, 340, 211)",0,none
2,"(679, 81, 774, 221)",0,none
2,"(671, 184, 794, 391)",0,none
3,"(276, 10, 336, 221)",0,none
3,"(671, 186, 794, 391)",0,none
3,"(695, 81, 768, 213)",0,none
4,"(263, 12, 338, 220)",0,none
4,"(671, 180, 795, 390)",0,none
4,"(712, 83, 779, 197)",0,none
5,"(265, 15, 330, 222)",0,none
5,"(671, 180, 795, 390)",0,none
5,"(695, 82, 779, 197)",0,none
5,"(374, 1, 399, 47)",0,none
6,"(264, 10, 330, 223)",0,none
6,"(675, 179, 799, 386)",0,none
6,"(679, 80, 773, 217)",0,none
6,"(415, 0, 439, 47)",0,none
6,"(358, 1, 397, 56)",0,none
7,"(266, 8, 329, 224)",0,none
7,"(680, 74, 756, 212)",0,none
7,"(669, 181, 797, 387)",0,none
7,"(249, 11, 275, 97)",0,none
8,"(271, 15, 334, 229)",0,none
8,"(670, 178, 798, 386)",0,none
8,"(695, 79, 776, 211)",0,none
9,"(278, 16, 343, 232)",0,none
9,"(671, 178, 795, 383)",0,none
9,"(693, 78, 773, 214)",0,none
10,"(259, 16, 346, 228)",0,none
10,"(673, 179, 805, 380)",0,none
10,"(698, 79, 774, 190)",0,none
10,"(383, 15, 409, 53)",0,none
11,"(261, 19, 343, 227)",0,none
11,"(673, 178, 804, 384)",0,none
11,"(445, 6, 469, 57)",0,none
11,"(697, 79, 772, 199)",0,none
12,"(260, 17, 340, 229)",0,none
12,"(54, 81, 148, 300)",0,none
12,"(671, 180, 795, 371)",0,none
12,"(694, 79, 769, 217)",0,none
12,"(453, 1, 504, 59)",0,none
13,"(170, 48, 276, 285)",0,none
13,"(276, 16, 346, 228)",0,none
13,"(670, 179, 795, 375)",0,none
13,"(678, 79, 771, 214)",0,none
13,"(469, 1, 496, 60)",0,none
13,"(441, 1, 469, 52)",0,none
14,"(245, 23, 337, 249)",0,none
14,"(671, 180, 795, 376)",0,none
14,"(695, 80, 770, 195)",0,none
14,"(286, 10, 368, 225)",0,none
14,"(458, 1, 505, 60)",0,none
14,"(535, 0, 603, 69)",0,none
15,"(247, 18, 348, 245)",0,none
15,"(694, 80, 767, 214)",0,none
15,"(673, 181, 798, 382)",0,none
15,"(308, 49, 372, 222)",0,none
16,"(252, 18, 344, 246)",0,none
16,"(299, 23, 374, 219)",0,none
16,"(689, 79, 767, 211)",0,none
16,"(671, 181, 796, 379)",0,none
17,"(251, 28, 346, 243)",0,none
17,"(307, 4, 373, 217)",0,none
17,"(671, 180, 795, 379)",0,none
17,"(689, 79, 768, 210)",0,none
17,"(492, 0, 522, 63)",0,none
17,"(460, 0, 493, 60)",0,none
18,"(238, 17, 350, 241)",0,none
18,"(311, 10, 380, 214)",0,none
18,"(690, 79, 770, 212)",0,none
18,"(488, 0, 522, 63)",0,none
18,"(672, 185, 794, 378)",0,none
19,"(248, 17, 337, 242)",0,none
19,"(312, 2, 375, 214)",0,none
19,"(690, 79, 769, 212)",0,none
19,"(671, 184, 794, 382)",0,none
20,"(322, 10, 408, 215)",0,none
20,"(268, 18, 335, 241)",0,none
20,"(671, 182, 794, 383)",0,none
20,"(691, 79, 770, 212)",0,none
20,"(489, 0, 527, 63)",0,none
21,"(211, 36, 302, 263)",0,none
21,"(309, 4, 374, 212)",0,none
21,"(671, 186, 794, 383)",0,none
21,"(691, 79, 770, 216)",0,none
22,"(287, 4, 349, 216)",0,none
22,"(153, 45, 211, 242)",0,none
22,"(671, 184, 794, 379)",0,none
22,"(689, 79, 768, 219)",0,none
23,"(158, 11, 232, 201)",0,none
23,"(268, 17, 348, 212)",0,none
23,"(687, 79, 767, 220)",0,none
23,"(671, 184, 794, 374)",0,none
24,"(282, 11, 356, 214)",0,none
24,"(674, 184, 794, 368)",0,none
24,"(689, 79, 767, 220)",0,none
24,"(209, 2, 268, 142)",0,none
25,"(283, 11, 355, 215)",0,none
25,"(491, 0, 525, 63)",0,none
25,"(234, 0, 286, 103)",0,none
25,"(679, 79, 768, 223)",0,none
25,"(674, 187, 794, 353)",0,none
25,"(382, 0, 453, 52)",0,none
